>>> spin_at_rate(dps = 9, Kp = 0, Ki = 0.0025, Kd = 0, interval = 50)
Starting spin in 5 seconds...
Yaw: 0.00°/s, Target: 9��/s, Error: 9.00, Steering: 0.02
Yaw: 0.02°/s, Target: 9°/s, Error: 8.98, Steering: 0.04
Yaw: 0.03°/s, Target: 9°/s, Error: 8.97, Steering: 0.07
Yaw: 7.88°/s, Target: 9°/s, Error: 1.12, Steering: 0.07
Yaw: -0.32°/s, Target: 9°/s, Error: 9.32, Steering: 0.09
Yaw: -0.02°/s, Target: 9°/s, Error: 9.02, Steering: 0.12
Yaw: 0.02°/s, Target: 9°/s, Error: 8.98, Steering: 0.14
Yaw: 8.86°/s, Target: 9°/s, Error: 0.14, Steering: 0.14
Yaw: 0.34°/s, Target: 9°/s, Error: 8.66, Steering: 0.16
Yaw: 8.10°/s, Target: 9°/s, Error: 0.90, Steering: 0.16
Yaw: 8.85°/s, Target: 9��/s, Error: 0.15, Steering: 0.16
Yaw: 4.25°/s, Target: 9°/s, Error: 4.75, Steering: 0.17
Yaw: 4.63°/s, Target: 9°/s, Error: 4.37, Steering: 0.19
Yaw: 7.59°/s, Target: 9°/s, Error: 1.41, Steering: 0.19
Yaw: 5.62°/s, Target: 9°/s, Error: 3.38, Steering: 0.20
Yaw: 9.52°/s, Target: 9°/s, Error: -0.52, Steering: 0.20
Yaw: 6.87��/s, Target: 9°/s, Error: 2.13, Steering: 0.20
Yaw: 6.68°/s, Target: 9°/s, Error: 2.32, Steering: 0.21
Yaw: 9.92°/s, Target: 9°/s, Error: -0.92, Steering: 0.21
Yaw: 7.20°/s, Target: 9°/s, Error: 1.80, Steering: 0.21
Yaw: 9.87°/s, Target: 9°/s, Error: -0.87, Steering: 0.21
Yaw: 5.38°/s, Target: 9°/s, Error: 3.62, Steering: 0.22
Yaw: 8.38°/s, Target: 9°/s, Error: 0.62, Steering: 0.22
Yaw: 6.43°/s, Target: 9°/s, Error: 2.57, Steering: 0.22
Yaw: 7.57°/s, Target: 9°/s, Error: 1.43, Steering: 0.23
Yaw: 6.06°/s, Target: 9°/s, Error: 2.94, Steering: 0.24
Yaw: 9.39°/s, Target: 9°/s, Error: -0.39, Steering: 0.23
Yaw: 8.91��/s, Target: 9°/s, Error: 0.09, Steering: 0.23
Yaw: 6.83��/s, Target: 9°/s, Error: 2.17, Steering: 0.24
Yaw: 11.84°/s, Target: 9°/s, Error: -2.84, Steering: 0.23
Yaw: 12.88°/s, Target: 9°/s, Error: -3.88, Steering: 0.22
Yaw: 10.43°/s, Target: 9°/s, Error: -1.43, Steering: 0.22
Yaw: 4.93°/s, Target: 9��/s, Error: 4.07, Steering: 0.23
Yaw: 5.05°/s, Target: 9��/s, Error: 3.95, Steering: 0.24
Yaw: 4.84°/s, Target: 9°/s, Error: 4.16, Steering: 0.25
Yaw: 6.38°/s, Target: 9°/s, Error: 2.62, Steering: 0.25
Yaw: 6.57°/s, Target: 9°/s, Error: 2.43, Steering: 0.25
Yaw: 9.44°/s, Target: 9°/s, Error: -0.44, Steering: 0.25
Yaw: 5.07°/s, Target: 9��/s, Error: 3.93, Steering: 0.25
Yaw: 7.77°/s, Target: 9°/s, Error: 1.23, Steering: 0.25
Yaw: 12.38°/s, Target: 9°/s, Error: -3.38, Steering: 0.24
Yaw: 12.30°/s, Target: 9°/s, Error: -3.30, Steering: 0.23
Yaw: 13.63°/s, Target: 9°/s, Error: -4.63, Steering: 0.22
Yaw: 12.89°/s, Target: 9��/s, Error: -3.89, Steering: 0.21
Yaw: 7.43°/s, Target: 9°/s, Error: 1.57, Steering: 0.22
Yaw: 7.78°/s, Target: 9°/s, Error: 1.22, Steering: 0.22
Yaw: 3.26°/s, Target: 9°/s, Error: 5.74, Steering: 0.23
Yaw: 8.15°/s, Target: 9°/s, Error: 0.85, Steering: 0.24
Yaw: 6.25°/s, Target: 9°/s, Error: 2.75, Steering: 0.24
Yaw: 10.82°/s, Target: 9°/s, Error: -1.82, Steering: 0.24
Yaw: 11.21°/s, Target: 9°/s, Error: -2.21, Steering: 0.23
Yaw: 10.90°/s, Target: 9°/s, Error: -1.90, Steering: 0.23
Yaw: 6.78°/s, Target: 9°/s, Error: 2.22, Steering: 0.23
Yaw: 6.09°/s, Target: 9°/s, Error: 2.91, Steering: 0.24
Yaw: 4.40°/s, Target: 9°/s, Error: 4.60, Steering: 0.25
Yaw: 12.07°/s, Target: 9°/s, Error: -3.07, Steering: 0.24
Yaw: 10.61°/s, Target: 9°/s, Error: -1.61, Steering: 0.24
Yaw: 9.60°/s, Target: 9°/s, Error: -0.60, Steering: 0.24
Yaw: 8.14°/s, Target: 9°/s, Error: 0.86, Steering: 0.24
Yaw: 5.30°/s, Target: 9°/s, Error: 3.70, Steering: 0.25
Yaw: 3.59°/s, Target: 9°/s, Error: 5.41, Steering: 0.25
Yaw: 6.05°/s, Target: 9°/s, Error: 2.95, Steering: 0.25
Yaw: 11.60°/s, Target: 9��/s, Error: -2.60, Steering: 0.24
Yaw: 13.70°/s, Target: 9°/s, Error: -4.70, Steering: 0.23
Yaw: 9.13°/s, Target: 9°/s, Error: -0.13, Steering: 0.23
