>>> spin_at_rate(dps = 9, Kp = 0, Ki = 0.005, Kd = 0, interval = 50)
Starting spin in 5 seconds...
Yaw: 0.02°/s, Target: 9°/s, Error: 8.98, Steering: 0.04
Yaw: 3.48°/s, Target: 9°/s, Error: 5.52, Steering: 0.07
Yaw: -1.99��/s, Target: 9°/s, Error: 10.99, Steering: 0.13
Yaw: 0.71°/s, Target: 9°/s, Error: 8.29, Steering: 0.17
Yaw: 0.12°/s, Target: 9°/s, Error: 8.88, Steering: 0.21
Yaw: 5.71°/s, Target: 9°/s, Error: 3.29, Steering: 0.23
Yaw: 7.94°/s, Target: 9°/s, Error: 1.06, Steering: 0.24
Yaw: 1.64°/s, Target: 9°/s, Error: 7.36, Steering: 0.27
Yaw: 8.11°/s, Target: 9��/s, Error: 0.89, Steering: 0.28
Yaw: 8.18°/s, Target: 9°/s, Error: 0.82, Steering: 0.28
Yaw: 10.34°/s, Target: 9°/s, Error: -1.34, Steering: 0.27
Yaw: 10.24°/s, Target: 9°/s, Error: -1.24, Steering: 0.27
Yaw: 18.25°/s, Target: 9°/s, Error: -9.25, Steering: 0.22
Yaw: 20.68°/s, Target: 9°/s, Error: -11.68, Steering: 0.16
Yaw: 8.89°/s, Target: 9°/s, Error: 0.11, Steering: 0.16
Yaw: 4.83°/s, Target: 9°/s, Error: 4.17, Steering: 0.18
Yaw: 3.64°/s, Target: 9��/s, Error: 5.36, Steering: 0.21
Yaw: 7.21°/s, Target: 9��/s, Error: 1.79, Steering: 0.22
Yaw: 8.16°/s, Target: 9°/s, Error: 0.84, Steering: 0.22
Yaw: 8.82°/s, Target: 9°/s, Error: 0.18, Steering: 0.22
Yaw: 9.92°/s, Target: 9°/s, Error: -0.92, Steering: 0.22
Yaw: 8.79°/s, Target: 9°/s, Error: 0.21, Steering: 0.22
Yaw: 8.70°/s, Target: 9°/s, Error: 0.30, Steering: 0.22
Yaw: 12.80°/s, Target: 9°/s, Error: -3.80, Steering: 0.20
Yaw: 10.25°/s, Target: 9°/s, Error: -1.25, Steering: 0.20
Yaw: 6.63°/s, Target: 9°/s, Error: 2.37, Steering: 0.21
Yaw: 9.40°/s, Target: 9°/s, Error: -0.40, Steering: 0.21
Yaw: 8.60°/s, Target: 9°/s, Error: 0.40, Steering: 0.21
Yaw: 7.16°/s, Target: 9°/s, Error: 1.84, Steering: 0.22
Yaw: 6.52°/s, Target: 9°/s, Error: 2.48, Steering: 0.23
Yaw: 8.13°/s, Target: 9°/s, Error: 0.87, Steering: 0.24
Yaw: 8.26°/s, Target: 9°/s, Error: 0.74, Steering: 0.24
Yaw: 9.83��/s, Target: 9°/s, Error: -0.83, Steering: 0.24
Yaw: 13.68°/s, Target: 9°/s, Error: -4.68, Steering: 0.21
Yaw: 15.23°/s, Target: 9°/s, Error: -6.23, Steering: 0.18
Yaw: 11.44°/s, Target: 9°/s, Error: -2.44, Steering: 0.17
Yaw: 5.09°/s, Target: 9°/s, Error: 3.91, Steering: 0.19
